Date,Income,Expense,Investments,Annual Returns
2021-01-01,100000,50000,50000,4000
2022-01-01,100000,50000,104000,8320
2023-01-01,100000,50000,162320,12986
2024-01-01,100000,50000,225306,18024
2025-01-01,100000,50000,293330,23466
2026-01-01,100000,50000,366796,29344
2027-01-01,100000,50000,446140,35691
2028-01-01,100000,50000,531831,42547
2029-01-01,100000,50000,624378,49950
2030-01-01,100000,50000,724328,57946
2031-01-01,100000,50000,832274,66582
2032-01-01,100000,50000,948856,75909
2033-01-01,100000,50000,1074765,85981
2034-01-01,100000,50000,1210746,96860
2035-01-01,100000,50000,1357606,108608
2036-01-01,100000,50000,1516214,121297
2037-01-01,100000,50000,1687511,135001
2038-01-01,100000,50000,1872512,149801
2039-01-01,100000,50000,2072313,165785
2040-01-01,100000,50000,2288098,183048
2041-01-01,100000,50000,2521146,201692
